PartitionKey,RowKey,Value
tenants:apigolden-rc,AllowRecordSaveLock,true
tenants:apigolden-rc,AnalyticsDataCaptureEnabled,true
tenants:apigolden-rc,AuditArchive,true
tenants:apigolden-rc,AuditTrailUI,true
tenants:apigolden-rc,BrandGuidelineMigrationComplete,true
tenants:apigolden-rc,EnableAIContentCoach,true
tenants:apigolden-rc,EnableAIPredictiveMetadata,true
tenants:apigolden-rc,EnableAIVisionCaptions,true
tenants:apigolden-rc,EnableAzureSdkLogging,true
tenants:apigolden-rc,EnableBulkEdit,True
tenants:apigolden-rc,EnableCAILicenseFlag,true
tenants:apigolden-rc,EnableChatGPTRecommendations,true
tenants:apigolden-rc,EnableEnhancedTranscription,True
tenants:apigolden-rc,EnableSemanticSearch,true
tenants:apigolden-rc,EnableSmartActionReview,true
tenants:apigolden-rc,EnableSmartActions,true
tenants:apigolden-rc,EnableSmartTransform,true
tenants:apigolden-rc,EnableTokenExpirationCheckUploadService,true
tenants:apigolden-rc,EnableUsingAsposeForAllPdfs,True
tenants:apigolden-rc,EnableVideoSummaryGeneration,true
tenants:apigolden-rc,ExcludeFileVersionPermissionOnDraft,True
tenants:apigolden-rc,ExtendSimpleTextSearch,true
tenants:apigolden-rc,PublicCDN,true
tenants:apigolden-rc,PublishUserEvents,true
tenants:apigolden-rc,SimpleTextSearch,true
tenants:apigolden-rc,UseUserDisplayName,true
tenants:apigolden-rc,VideoSummary,true
tenants:apitest-rc,AllowRecordSaveLock,true
tenants:apitest-rc,AnalyticsDataCaptureEnabled,true
tenants:apitest-rc,AuditArchive,true
tenants:apitest-rc,AuditTrailUI,true
tenants:apitest-rc,BrandGuidelineMigrationComplete,true
tenants:apitest-rc,EnableAIContentCoach,true
tenants:apitest-rc,EnableAIPredictiveMetadata,true
tenants:apitest-rc,EnableAIVisionCaptions,true
tenants:apitest-rc,EnableAzureSdkLogging,true
tenants:apitest-rc,EnableBulkEdit,True
tenants:apitest-rc,EnableCAILicenseFlag,true
tenants:apitest-rc,EnableChatGPTRecommendations,true
tenants:apitest-rc,EnableEnhancedTranscription,True
tenants:apitest-rc,EnableSemanticSearch,true
tenants:apitest-rc,EnableSmartActions,true
tenants:apitest-rc,EnableSmartTransform,true
tenants:apitest-rc,EnableTokenExpirationCheckUploadService,true
tenants:apitest-rc,EnableUsingAsposeForAllPdfs,True
tenants:apitest-rc,EnableVideoSummaryGeneration,true
tenants:apitest-rc,ExcludeFileVersionPermissionOnDraft,True
tenants:apitest-rc,ExtendSimpleTextSearch,true
tenants:apitest-rc,PublicCDN,true
tenants:apitest-rc,PublishUserEvents,true
tenants:apitest-rc,SimpleTextSearch,true
tenants:apitest-rc,UseUserDisplayName,true
tenants:apitest-rc,VideoSummary,true
tenants:b2b-rc,AllowRecordSaveLock,true
tenants:b2b-rc,BrandGuidelineMigrationComplete,true
tenants:b2b-rc,EnableBulkEdit,True
tenants:b2b-rc,EnableEnhancedTranscription,True
tenants:b2b-rc,EnableTokenExpirationCheckUploadService,true
tenants:b2b-rc,EnableUsingAsposeForAllPdfs,True
tenants:b2b-rc,ExcludeFileVersionPermissionOnDraft,True
tenants:b2b-rc,ExtendSimpleTextSearch,true
tenants:deliveryms1-rc,AllowRecordSaveLock,true
tenants:deliveryms1-rc,AnalyticsDataCaptureEnabled,true
tenants:deliveryms1-rc,AuditArchive,true
tenants:deliveryms1-rc,AuditTrailUI,true
tenants:deliveryms1-rc,BrandGuidelineMigrationComplete,true
tenants:deliveryms1-rc,EnableAzureSdkLogging,true
tenants:deliveryms1-rc,EnableBulkEdit,True
tenants:deliveryms1-rc,EnableEnhancedTranscription,True
tenants:deliveryms1-rc,EnableTokenExpirationCheckUploadService,true
tenants:deliveryms1-rc,EnableUsingAsposeForAllPdfs,True
tenants:deliveryms1-rc,ExcludeFileVersionPermissionOnDraft,True
tenants:deliveryms1-rc,ExtendSimpleTextSearch,true
tenants:deliveryms1-rc,PublicCDN,false
tenants:deliveryms1-rc,PublishUserEvents,true
tenants:deliveryms1-rc,SalesforceConnector,true
tenants:deliveryms1-rc,SimpleTextSearch,true
tenants:deliveryms1-rc,UseUserDisplayName,true
tenants:deliveryms2-rc,AllowRecordSaveLock,true
tenants:deliveryms2-rc,AnalyticsDataCaptureEnabled,true
tenants:deliveryms2-rc,AuditArchive,true
tenants:deliveryms2-rc,AuditTrailUI,true
tenants:deliveryms2-rc,BrandGuidelineMigrationComplete,true
tenants:deliveryms2-rc,EnableAzureSdkLogging,true
tenants:deliveryms2-rc,EnableBulkEdit,True
tenants:deliveryms2-rc,EnableEnhancedTranscription,True
tenants:deliveryms2-rc,EnableTokenExpirationCheckUploadService,true
tenants:deliveryms2-rc,EnableUsingAsposeForAllPdfs,True
tenants:deliveryms2-rc,ExcludeFileVersionPermissionOnDraft,True
tenants:deliveryms2-rc,ExtendSimpleTextSearch,true
tenants:deliveryms2-rc,PublicCDN,false
tenants:deliveryms2-rc,PublishUserEvents,true
tenants:deliveryms2-rc,SalesforceConnector,true
tenants:deliveryms2-rc,SimpleTextSearch,true
tenants:deliveryms2-rc,UseUserDisplayName,true
tenants:loadtest1-rc,EnableBulkEdit,True
tenants:loadtest2-rc,EnableBulkEdit,True
tenants:loadtest2-rc,EnablePublicAccess,true
tenants:loadtest2-rc,PublicCDN,true
tenants:loadtest3-rc,EnableBulkEdit,True
tenants:loadtest4-rc,EnableBulkEdit,True
tenants:loadtest5-rc,EnableBulkEdit,True
tenants:modamautomation-rc,AllowRecordSaveLock,true
tenants:modamautomation-rc,AnalyticsDataCaptureEnabled,true
tenants:modamautomation-rc,AuditArchive,true
tenants:modamautomation-rc,AuditTrailUI,true
tenants:modamautomation-rc,BrandGuidelineMigrationComplete,true
tenants:modamautomation-rc,CustomVisionSmartTags,true
tenants:modamautomation-rc,EnableAIContentCoach,true
tenants:modamautomation-rc,EnableAIContentItemAgents,true
tenants:modamautomation-rc,EnableAIContentTypeResolution,true
tenants:modamautomation-rc,EnableAIPredictiveMetadata,true
tenants:modamautomation-rc,EnableAITranscriptionTranslation,true
tenants:modamautomation-rc,EnableAIVisionCaptions,true
tenants:modamautomation-rc,EnableActivityMonitorDAMAssets,true
tenants:modamautomation-rc,EnableAzureSdkLogging,true
tenants:modamautomation-rc,EnableBulkEdit,True
tenants:modamautomation-rc,EnableChatGPTRecommendations,true
tenants:modamautomation-rc,EnableConfigurableSearchTab,true
tenants:modamautomation-rc,EnableContentAutomationHub,true
tenants:modamautomation-rc,EnableDidYouMean,true
tenants:modamautomation-rc,EnableEnhancedTranscription,True
tenants:modamautomation-rc,EnableFileVersionThumbnail,true
tenants:modamautomation-rc,EnablePublicAccess,true
tenants:modamautomation-rc,EnableRecommendationCenter,true
tenants:modamautomation-rc,EnableSmartActionReview,true
tenants:modamautomation-rc,EnableSmartActions,true
tenants:modamautomation-rc,EnableSmartFacets,true
tenants:modamautomation-rc,EnableSmartSearch,true
tenants:modamautomation-rc,EnableSmartTransform,true
tenants:modamautomation-rc,EnableTokenExpirationCheckUploadService,true
tenants:modamautomation-rc,EnableUsingAsposeForAllPdfs,True
tenants:modamautomation-rc,EnableVideoSummaryGeneration,true
tenants:modamautomation-rc,ExcludeFileVersionPermissionOnDraft,True
tenants:modamautomation-rc,ExtendSimpleTextSearch,true
tenants:modamautomation-rc,PublicCDN,true
tenants:modamautomation-rc,PublicCDNPassPhrase,alla
tenants:modamautomation-rc,PublishUserEvents,true
tenants:modamautomation-rc,SalesforceConnector,true
tenants:modamautomation-rc,SimpleTextSearch,true
tenants:modamautomation-rc,UseUserDisplayName,true
tenants:modamautomation-rc,VideoSummary,true
tenants:modamautomation0-rc,AllowRecordSaveLock,true
tenants:modamautomation0-rc,AnalyticsDataCaptureEnabled,true
tenants:modamautomation0-rc,AuditArchive,true
tenants:modamautomation0-rc,AuditTrailUI,true
tenants:modamautomation0-rc,BrandGuidelineMigrationComplete,true
tenants:modamautomation0-rc,EnableAIContentCoach,true
tenants:modamautomation0-rc,EnableAIContentItemAgents,true
tenants:modamautomation0-rc,EnableAIContentTypeResolution,true
tenants:modamautomation0-rc,EnableAIPredictiveMetadata,true
tenants:modamautomation0-rc,EnableAITranscriptionTranslation,true
tenants:modamautomation0-rc,EnableAIVisionCaptions,true
tenants:modamautomation0-rc,EnableActivityMonitorDAMAssets,true
tenants:modamautomation0-rc,EnableAzureSdkLogging,true
tenants:modamautomation0-rc,EnableBulkEdit,True
tenants:modamautomation0-rc,EnableChatGPTRecommendations,true
tenants:modamautomation0-rc,EnableConfigurableSearchTab,true
tenants:modamautomation0-rc,EnableContentAutomationHub,true
