PartitionKey,RowKey,CurrentValue
tenants:modamautomation-rc,EnableAutoAccessCollection,
tenants:modamautomation-rc,EnableFilePathCleanupDeletion,
tenants:modamautomation-rc,EnableVersionChangeInsightsFileInputImages,
tenants:modamautomation-rc,EnableVersionChangeInsightsFileInputOther,
tenants:modamautomation-rc,EnableVersionChangeInsightsFileInputPDF,
tenants:modamautomation-rc,MaintenanceJobXmlOmitNamespaces,
tenants:modamautomation-rc,downloadCacheAccount,p17us1dcache01sa1
tenants:modamautomation-rc,maxNumberOfChangesToSync,500
tenants:modamautomation-rc,maxNumberOfImportsPerMaintenanceJob,5000
tenants:modamautomation0-rc,EnableAutoAccessCollection,
tenants:modamautomation0-rc,EnableFilePathCleanupDeletion,
tenants:modamautomation0-rc,EnableVersionChangeInsightsFileInputImages,
tenants:modamautomation0-rc,EnableVersionChangeInsightsFileInputOther,
tenants:modamautomation0-rc,EnableVersionChangeInsightsFileInputPDF,
tenants:modamautomation0-rc,MaintenanceJobXmlOmitNamespaces,
tenants:modamautomation0-rc,downloadCacheAccount,p17us1dcache01sa1
tenants:modamautomation0-rc,maxNumberOfChangesToSync,500
tenants:modamautomation0-rc,maxNumberOfImportsPerMaintenanceJob,5000
tenants:modamautomation1-rc,EnableAutoAccessCollection,
tenants:modamautomation1-rc,EnableFilePathCleanupDeletion,
tenants:modamautomation1-rc,EnableVersionChangeInsightsFileInputImages,
tenants:modamautomation1-rc,EnableVersionChangeInsightsFileInputOther,
tenants:modamautomation1-rc,EnableVersionChangeInsightsFileInputPDF,
tenants:modamautomation1-rc,MaintenanceJobXmlOmitNamespaces,
tenants:modamautomation1-rc,downloadCacheAccount,p17us1dcache01sa1
tenants:modamautomation1-rc,maxNumberOfChangesToSync,500
tenants:modamautomation1-rc,maxNumberOfImportsPerMaintenanceJob,5000
tenants:modamautomation2-rc,EnableAutoAccessCollection,
tenants:modamautomation2-rc,EnableFilePathCleanupDeletion,
tenants:modamautomation2-rc,EnableVersionChangeInsightsFileInputImages,
tenants:modamautomation2-rc,EnableVersionChangeInsightsFileInputOther,
tenants:modamautomation2-rc,EnableVersionChangeInsightsFileInputPDF,
tenants:modamautomation2-rc,MaintenanceJobXmlOmitNamespaces,
tenants:modamautomation2-rc,downloadCacheAccount,p17us1dcache01sa1
tenants:modamautomation2-rc,maxNumberOfChangesToSync,500
tenants:modamautomation2-rc,maxNumberOfImportsPerMaintenanceJob,5000
tenants:modamautomation3-rc,EnableAutoAccessCollection,
tenants:modamautomation3-rc,EnableFilePathCleanupDeletion,
tenants:modamautomation3-rc,EnableVersionChangeInsightsFileInputImages,
tenants:modamautomation3-rc,EnableVersionChangeInsightsFileInputOther,
tenants:modamautomation3-rc,EnableVersionChangeInsightsFileInputPDF,
tenants:modamautomation3-rc,MaintenanceJobXmlOmitNamespaces,
tenants:modamautomation3-rc,downloadCacheAccount,p17us1dcache01sa1
tenants:modamautomation3-rc,maxNumberOfChangesToSync,500
tenants:modamautomation3-rc,maxNumberOfImportsPerMaintenanceJob,5000
tenants:modamautomation4-rc,EnableAutoAccessCollection,
tenants:modamautomation4-rc,EnableFilePathCleanupDeletion,
tenants:modamautomation4-rc,EnableVersionChangeInsightsFileInputImages,
tenants:modamautomation4-rc,EnableVersionChangeInsightsFileInputOther,
tenants:modamautomation4-rc,EnableVersionChangeInsightsFileInputPDF,
tenants:modamautomation4-rc,MaintenanceJobXmlOmitNamespaces,
tenants:modamautomation4-rc,downloadCacheAccount,p17us1dcache01sa1
tenants:modamautomation4-rc,maxNumberOfChangesToSync,500
tenants:modamautomation4-rc,maxNumberOfImportsPerMaintenanceJob,5000
tenants:modamautomation5-rc,EnableAutoAccessCollection,
tenants:modamautomation5-rc,EnableFilePathCleanupDeletion,
tenants:modamautomation5-rc,EnableVersionChangeInsightsFileInputImages,
tenants:modamautomation5-rc,EnableVersionChangeInsightsFileInputOther,
tenants:modamautomation5-rc,EnableVersionChangeInsightsFileInputPDF,
tenants:modamautomation5-rc,MaintenanceJobXmlOmitNamespaces,
tenants:modamautomation5-rc,downloadCacheAccount,p17us1dcache01sa1
tenants:modamautomation5-rc,maxNumberOfChangesToSync,500
tenants:modamautomation5-rc,maxNumberOfImportsPerMaintenanceJob,5000
tenants:modamautomation6-rc,EnableAutoAccessCollection,
tenants:modamautomation6-rc,EnableFilePathCleanupDeletion,
tenants:modamautomation6-rc,EnableVersionChangeInsightsFileInputImages,
tenants:modamautomation6-rc,EnableVersionChangeInsightsFileInputOther,
tenants:modamautomation6-rc,EnableVersionChangeInsightsFileInputPDF,
tenants:modamautomation6-rc,MaintenanceJobXmlOmitNamespaces,
tenants:modamautomation6-rc,downloadCacheAccount,p17us1dcache01sa1
tenants:modamautomation6-rc,maxNumberOfChangesToSync,500
tenants:modamautomation6-rc,maxNumberOfImportsPerMaintenanceJob,5000
tenants:modamautomationgolden-rc,EnableAutoAccessCollection,
tenants:modamautomationgolden-rc,EnableFilePathCleanupDeletion,
tenants:modamautomationgolden-rc,EnableVersionChangeInsightsFileInputImages,
tenants:modamautomationgolden-rc,EnableVersionChangeInsightsFileInputOther,
tenants:modamautomationgolden-rc,EnableVersionChangeInsightsFileInputPDF,
tenants:modamautomationgolden-rc,MaintenanceJobXmlOmitNamespaces,
tenants:modamautomationgolden-rc,downloadCacheAccount,p17us1dcache01sa1
tenants:modamautomationgolden-rc,maxNumberOfChangesToSync,500
tenants:modamautomationgolden-rc,maxNumberOfImportsPerMaintenanceJob,5000
