PartitionKey,RowKey,BackupValue,CurrentValue
tenants:modamautomation-rc,AllowRecordSaveLock,true,
tenants:modamautomation-rc,AnalyticsDataCaptureEnabled,true,
tenants:modamautomation-rc,AuditArchive,true,
tenants:modamautomation-rc,AuditTrailUI,true,
tenants:modamautomation-rc,BrandGuidelineMigrationComplete,true,
tenants:modamautomation-rc,BrandTemplateLicenseFlag,true,false
tenants:modamautomation-rc,CustomVisionSmartTags,true,
tenants:modamautomation-rc,DamUiBulkEditBatchSize,20,10
tenants:modamautomation-rc,ES7IndexConfiguration,"{""RecordMaxFieldsLimit"":1000,""RecordReplicaShards"":1,""ClassificationReplicaShards"":1,""MaxNgramDifference"":6,""ClassificationMaxFieldsLimit"":1000,""ClassificationPrimaryShards"":1,""SuggestionsReplicaShards"":1,""RecordPrimaryShards"":1,""SuggestionsPrimaryShards"":1,""RecordMaxResultWindow"":5000000,""ClassificationMaxResultWindow"":100000}","{""RecordMaxFieldsLimit"":1000,""RecordReplicaShards"":1,""ClassificationReplicaShards"":1,""MaxNgramDifference"":6,""ClassificationMaxFieldsLimit"":1000,""ClassificationPrimaryShards"":1,""SuggestionsReplicaShards"":1,""RecordPrimaryShards"":1,""SuggestionsPrimaryShards"":1,""RecordMaxResultWindow"":5000000,""ClassificationMaxResultWindow"":100000,""NestedObjectsLimit"":10000}"
tenants:modamautomation-rc,EnableAIContentCoach,true,
tenants:modamautomation-rc,EnableAIContentItemAgents,true,
tenants:modamautomation-rc,EnableAIContentTypeResolution,true,
tenants:modamautomation-rc,EnableAIPredictiveMetadata,true,
tenants:modamautomation-rc,EnableAITranscriptionTranslation,true,
tenants:modamautomation-rc,EnableAIVisionCaptions,true,
tenants:modamautomation-rc,EnableActivityMonitorDAMAssets,true,
tenants:modamautomation-rc,EnableAzureSdkLogging,true,
tenants:modamautomation-rc,EnableBulkEdit,True,
tenants:modamautomation-rc,EnableChatGPTRecommendations,true,
tenants:modamautomation-rc,EnableConfigurableSearchTab,true,
tenants:modamautomation-rc,EnableContentAutomationHub,true,
tenants:modamautomation-rc,EnableDidYouMean,true,
tenants:modamautomation-rc,EnableEnhancedTranscription,True,
tenants:modamautomation-rc,EnableFileVersionThumbnail,true,
tenants:modamautomation-rc,EnablePublicAccess,true,
tenants:modamautomation-rc,EnableRecommendationCenter,true,
