PartitionKey,RowKey,BackupValue
tenants:modamautomation-rc,EnableFuzzyClaimTextMatch,
tenants:modamautomation-rc,EnableTextMatchAgent,
tenants:modamautomation0-rc,EnableFuzzyClaimTextMatch,
tenants:modamautomation0-rc,EnableTextMatchAgent,
tenants:modamautomation1-rc,EnableFuzzyClaimTextMatch,
tenants:modamautomation1-rc,EnableTextMatchAgent,
tenants:modamautomation2-rc,EnableFuzzyClaimTextMatch,
tenants:modamautomation2-rc,EnableTextMatchAgent,
tenants:modamautomation3-rc,EnableFuzzyClaimTextMatch,
tenants:modamautomation3-rc,EnableTextMatchAgent,
tenants:modamautomation4-rc,EnableFuzzyClaimTextMatch,
tenants:modamautomation4-rc,EnableTextMatchAgent,
tenants:modamautomation5-rc,EnableFuzzyClaimTextMatch,
tenants:modamautomation5-rc,EnableTextMatchAgent,
tenants:modamautomation6-rc,EnableFuzzyClaimTextMatch,
tenants:modamautomation6-rc,EnableTextMatchAgent,
tenants:modamautomationgolden-rc,EnableFuzzyClaimTextMatch,
tenants:modamautomationgolden-rc,EnableTextMatchAgent,
